CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Karnataka Circle,South Karnataka Region,Chikkamagaluru Division,Chikkamagaluru H.O,577101,HO,Delivery,CHIKKAMAGALURU,KARNATAKA,13.3153055,75.7742222
Karnataka Circle,South Karnataka Region,Puttur Division,Puttur(D.K.) H.O,574201,HO,Delivery,DAKSHINA KANNADA,KARNATAKA,12.762560000000001,75.20044
Karnataka Circle,South Karnataka Region,Udupi Division,Kundapura HO,576201,HO,Delivery,UDUPI,KARNATAKA,13.6317500,74.6918333
Karnataka Circle,South Karnataka Region,Udupi Division,Manipal HO,576104,HO,Delivery,UDUPI,KARNATAKA,13.3489167,74.786083300000001
Kerala Circle,Kochi Region,Alleppey Division,Alappuzha HO,688001,HO,Delivery,ALAPPUZHA,KERALA,9.4995000,76.3381944
Kerala Circle,Kochi Region,Idukki Division,Kattappana HO,685508,HO,Delivery,IDUKKI,KERALA,9.75618,77.11177
Kerala Circle,DivReportingCircle,Pathanamthitta Division,Pathanamthitta HO,689645,HO,Delivery,PATHANAMTHITTA,KERALA,9.2642778,76.7872500
Kerala Circle,DivReportingCircle,Quilon Division,Kottarakara HO,691506,HO,Delivery,KOLLAM,KERALA,9.0000000,76.7700000
Kerala Circle,DivReportingCircle,Trivandrum North Division,Thiruvananthapuram GPO,695001,HO,Delivery,THIRUVANANTHAPURAM,KERALA,8.495269,76.947695
Kerala Circle,DivReportingCircle,Trivandrum South Division,Neyyattinkara HO,695121,HO,Delivery,THIRUVANANTHAPURAM,KERALA,8.4061322,77.0847762
Kerala Circle,DivReportingCircle,Trivandrum South Division,Poojapura HO,695012,HO,Delivery,THIRUVANANTHAPURAM,KERALA,8.4909012,76.9736510
Kerala Circle,Calicut Region,Manjeri Division,Manjerikla HO,676121,HO,Delivery,MALAPPURAM,KERALA,11.12052330,76.11312850
Kerala Circle,Calicut Region,Palghat Division,Alathur Mbr HO,678541,HO,Delivery,PALAKKAD,KERALA,10.6421850,76.5448260
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Seoni H.O,480661,HO,Delivery,SEONI,MADHYA PRADESH,22.0984167,79.5494444
Madhya Pradesh Circle,DivReportingCircle,Bhopal Division,C.T.T.Nagar H.O,462003,HO,Delivery,BHOPAL,MADHYA PRADESH,23.2341667,77.3991667
Madhya Pradesh Circle,Jabalpur Region,Sagar Division,Damoh H.O,470661,HO,Delivery,DAMOH,MADHYA PRADESH,23.8365702,79.4322312
Madhya Pradesh Circle,Indore Region,Ratlam Division,Jhabua H.O,457661,HO,Delivery,JHABUA,MADHYA PRADESH,22.7720833,74.5907778
Madhya Pradesh Circle,Indore Region,Ujjain Division,Shajapur H.O,465001,HO,Delivery,SHAJAPUR,MADHYA PRADESH,23.4204,76.27508
Madhya Pradesh Circle,DivReportingCircle,Gwalior Division,Morar H.O,474006,HO,Delivery,GWALIOR,MADHYA PRADESH,26.2308320,78.3219360
Maharashtra Circle,Goa-Panaji Region,Goa Division,Margao H.O,403601,HO,Delivery,SOUTH GOA,GOA,15.27470136,73.95756147
Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kolhapur City H.O,416012,HO,Delivery,KOLHAPUR,MAHARASHTRA,16.6914198,74.2187626
Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Kolhapur H.O,416003,HO,Delivery,KOLHAPUR,MAHARASHTRA,16.7196943,74.23757
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Chiplun H.O,415605,HO,Delivery,RATNAGIRI,MAHARASHTRA,17.5317702,73.512773
Maharashtra Circle,Mumbai Region,Mumbai City West Division,Mumbai Central H.O,400008,HO,Delivery,MUMBAI,MAHARASHTRA,18.96856312,72.82209855
Maharashtra Circle,Navi Mumbai Region,Thane Division,Thane H.O,400601,HO,Delivery,THANE,MAHARASHTRA,19.1993056,72.9793333
Maharashtra Circle,Nagpur Region,Akola Division,Akola H.O,444001,HO,Delivery,AKOLA,MAHARASHTRA,20.7100000,77.0000000
Maharashtra Circle,Nagpur Region,Amaravati Division,Amravati H.O,444601,HO,Delivery,AMRAVATI,MAHARASHTRA,20.9298611,77.7523056
Maharashtra Circle,Nagpur Region,Amaravati Division,Paratwada H.O,444805,HO,Delivery,AMRAVATI,MAHARASHTRA,21.303488932135824,77.51486860225016
Maharashtra Circle,Nagpur Region,Nagpur City Division,Nagpur City H.O,440002,HO,Delivery,NAGPUR,MAHARASHTRA,21.15271940,79.10926740
Maharashtra Circle,Nagpur Region,Nagpur Moffusil Division,Bhandara H.O,441904,HO,Delivery,BHANDARA,MAHARASHTRA,21.16341,79.65594
Maharashtra Circle,Nagpur Region,Nagpur Moffusil Division,Gondia H.O,441601,HO,Delivery,GONDIA,MAHARASHTRA,21.499805,80.254435
Maharashtra Circle,Nagpur Region,Nagpur Moffusil Division,Kamthi H.O,441001,HO,Delivery,NAGPUR,MAHARASHTRA,21.2275310,79.1900830
Maharashtra Circle,Regional Office Aurangabad,Bhusaval Division,Bhusawal H.O,425201,HO,Delivery,JALGAON,MAHARASHTRA,21.0450746,75.7864589
Maharashtra Circle,Navi Mumbai Region,Malegaon Division,Malegaon H.O,423203,HO,Delivery,NASHIK,MAHARASHTRA,21.0073120,75.5625490
North Eastern Circle,Shillong HQ Region,Meghalaya Division,Tura H.O,794001,HO,Delivery,WEST GARO HILLS,MEGHALAYA,25.51247222,90.22063889
Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Jaleswar H.O,756032,HO,Delivery,BALESHWAR,ODISHA,21.8045556,87.2261111
Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,Bhadrak H.O,756100,HO,Delivery,BHADRAK,ODISHA,21.0629433,86.4997600
Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,Chandinchowk H.O,753002,HO,Delivery,CUTTACK,ODISHA,20.4667917,85.8581680
Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Khurda H.O,752055,HO,Delivery,KHORDHA,ODISHA,20.1866674,85.6218522
Odisha Circle,Sambalpur Region,Rourkela Division,Uditnagar H.O,769012,HO,Delivery,SUNDARGARH,ODISHA,22.2277033,84.8160733
Odisha Circle,Berhampur Region,Aska Division,Aska H.O,761110,HO,Delivery,GANJAM,ODISHA,19.6196250,84.6551800
Odisha Circle,Berhampur Region,Phulbani Division,Phulbani H.O,762001,HO,Delivery,KANDHAMAL,ODISHA,20.4758840,84.2307160
Punjab Circle,DivReportingCircle,Chandigarh Division,Chandigarh GPO,160017,HO,Delivery,CHANDIGARH,CHANDIGARH,30.7423305,76.7833278
Punjab Circle,Punjab West Region,Amritsar Division,Tarn Taran HO,143401,HO,Delivery,Tarn Taran,PUNJAB,31.4577580,74.9186070
Punjab Circle,Punjab West Region,Jalandhar Division,Jalandhar Cantt HO,144005,HO,Delivery,JALANDHAR,PUNJAB,31.29153377,75.61625696
Rajasthan Circle,Ajmer Region,Beawar Division,Nasirabad H.O,305601,HO,Delivery,AJMER,RAJASTHAN,26.3002778,74.7191667
Rajasthan Circle,Ajmer Region,Dungarpur Division,Dungarpur H.O,314001,HO,Delivery,DUNGARPUR,RAJASTHAN,23.8507222,73.7100000
Rajasthan Circle,Ajmer Region,Udaipur Division,Udaipur H.O,313004,HO,Delivery,UDAIPUR,RAJASTHAN,24.5915278,73.6918611
Rajasthan Circle,DivReportingCircle,Bharatpur Division,Bharatpur H.O,321001,HO,Delivery,BHARATPUR,RAJASTHAN,27.223605,77.491637
Rajasthan Circle,DivReportingCircle,Jaipur Moffusil Division,Dausa HO,303303,HO,Delivery,DAUSA,RAJASTHAN,26.8908889,76.3378889
Rajasthan Circle,DivReportingCircle,Sawaimadhopur Division,Gangapur HO,322201,HO,Delivery,SAWAI MADHOPUR,RAJASTHAN,26.4846540,76.7278800
Rajasthan Circle,DivReportingCircle,Sawaimadhopur Division,Hindaun HO,322230,HO,Delivery,KARAULI,RAJASTHAN,26.7386111,77.0330480
Rajasthan Circle,Jodhpur Region,Churu Division,Ratangarh H.O,331022,HO,Delivery,CHURU,RAJASTHAN,28.0771450,74.6182300
Rajasthan Circle,DivReportingCircle,Jhunjhunu Division,Jhunjhunu H.O,333001,HO,Delivery,JHUNJHUNU,RAJASTHAN,28.1194444,75.3986111
Rajasthan Circle,Jodhpur Region,Jaisalmer Division,Jaisalmer HO,345001,HO,Delivery,JAISALMER,RAJASTHAN,26.913901,70.908032
Rajasthan Circle,Jodhpur Region,Sirohi Division,Jalore H.O,343001,HO,Delivery,JALORE,RAJASTHAN,25.3499510,72.6280060
Tamilnadu Circle,Chennai City Region,Chengalpattu Division,Chengalpattu HO,603001,HO,Delivery,CHENGALPATTU,TAMIL NADU,13.0084722,80.0041667
Tamilnadu Circle,Chennai City Region,Chennai GPO Division,Chennai G.P.O.,600001,HO,Delivery,CHENNAI,TAMIL NADU,13.0929722,80.2915000
Tamilnadu Circle,Chennai City Region,Kanchipuram Division,Kanchipuram H.O,631501,HO,Delivery,KANCHIPURAM,TAMIL NADU,12.8323611,79.7099722
Tamilnadu Circle,Chennai City Region,Tambaram Division,Avadi Camp HO,600054,HO,Delivery,THIRUVALLUR,TAMIL NADU,13.1269444,80.1037500
Tamilnadu Circle,Western Region Coimbatore,Erode Division,Bhavani HO,638301,HO,Delivery,ERODE,TAMIL NADU,11.4469320,77.6795780
Tamilnadu Circle,Western Region Coimbatore,Krishnagiri Division,Krishnagiri H.O,635001,HO,Delivery,KRISHNAGIRI,TAMIL NADU,12.5296,78.2064
Tamilnadu Circle,Western Region Coimbatore,Namakkal Division,Namakkal H.O,637001,HO,Delivery,NAMAKKAL,TAMIL NADU,11.2155833,78.1702778
Tamilnadu Circle,Western Region Coimbatore,Pollachi Division,Pollachi H.O,642001,HO,Delivery,COIMBATORE,TAMIL NADU,10.6595,77.0079
Tamilnadu Circle,Southern Region Madurai,Kanniyakumari Division,Thuckalay H.O,629175,HO,Delivery,KANNIYAKUMARI,TAMIL NADU,8.2415833,77.3220833
Tamilnadu Circle,Southern Region Madurai,Kovilpatti Division,Tenkasi H.O,627811,HO,Delivery,TENKASI,TAMIL NADU,8.9425000,77.2796200
Tamilnadu Circle,Southern Region Madurai,Theni Division,Periyakulam H.O,625601,HO,Delivery,THENI,TAMIL NADU,10.11,77.5395278
Tamilnadu Circle,Southern Region Madurai,Tirunelveli Division,Ambasamudram HO,627401,HO,Delivery,TIRUNELVELI,TAMIL NADU,8.7040278,77.4597500
Tamilnadu Circle,Southern Region Madurai,Tuticorin Division,Tuticorin H.O,628001,HO,Delivery,TUTICORIN,TAMIL NADU,8.792877,78.142572
Tamilnadu Circle,Central Region Trichirapalli,Kumbakonam Division,Melakaveri H.O,612002,HO,Delivery,THANJAVUR,TAMIL NADU,10.9681667,79.3725556
Tamilnadu Circle,Central Region Trichirapalli,Nagapattinam Division,Tiruvarur H.O,610001,HO,Delivery,THIRUVARUR,TAMIL NADU,10.7663611,79.6371389
Tamilnadu Circle,Central Region Trichirapalli,Pudukkottai Division,Pudukkottai H.O,622001,HO,Delivery,PUDUKKOTTAI,TAMIL NADU,10.3800000,78.8200000
Uttar Pradesh Circle,Agra Region,Mainpuri Division,Firozabad HO,283203,HO,Delivery,FIROZABAD,UTTAR PRADESH,27.1541313,78.3794857
Uttar Pradesh Circle,Prayagraj Regional Office,Pratapgarh Division,Pratapgarh HO,230001,HO,Delivery,PRATAPGARH,UTTAR PRADESH,25.9222778,81.9896389
Uttar Pradesh Circle,Bareilly Region,Kheri Division,Kheri HO,262701,HO,Delivery,KHERI,UTTAR PRADESH,27.9049870,80.7927750
Uttar Pradesh Circle,Bareilly Region,Meerut Division,Meerut City HO,250002,HO,Delivery,MEERUT,UTTAR PRADESH,28.9800000,77.6993000
Uttar Pradesh Circle,Bareilly Region,Moradabad Division,Amroha HO,244221,HO,Delivery,AMROHA,UTTAR PRADESH,28.9008333,78.4697778
Uttar Pradesh Circle,Varanasi Region,Ballia Division,BALLIA HO,277001,HO,Delivery,BALLIA,UTTAR PRADESH,25.762999600000001,84.148572299999998
Uttar Pradesh Circle,Gorakhpur Region,Basti Division,SIDDHARTH NAGAR H.O,272207,HO,Delivery,SIDDHARTH NAGAR,UTTAR PRADESH,27.2892,83.0831
Uttar Pradesh Circle,Gorakhpur Region,Gonda Division,Balrampur HO,271201,HO,Delivery,BALRAMPUR,UTTAR PRADESH,27.4309167,82.1806944
Uttar Pradesh Circle,Kanpur Region,Fatehgarh Division,Fatehgarh HO,209601,HO,Delivery,FARRUKHABAD,UTTAR PRADESH,27.3696944,79.6315278
Uttar Pradesh Circle,Kanpur Region,Kanpur Moffusil Division,Unnao HO,209801,HO,Delivery,UNNAO,UTTAR PRADESH,26.54841667,80.48430556
Uttar Pradesh Circle,Lucknow  HQ Region,Barabanki Division,Barabanki HO,225001,HO,Delivery,BARABANKI,UTTAR PRADESH,26.553757300000001,81.111913000000001
Uttar Pradesh Circle,Lucknow  HQ Region,Faizabad Division,Akbarpur HO,224122,HO,Delivery,AMBEDKAR NAGAR,UTTAR PRADESH,26.4296944,82.5346667
Uttar Pradesh Circle,Lucknow  HQ Region,Ghaziabad Division,Ghaziabad HO,201001,HO,Delivery,GHAZIABAD,UTTAR PRADESH,28.6683129546835,77.4298306830469
Uttar Pradesh Circle,Lucknow  HQ Region,Lucknow Division,Lucknow Chowk HO,226003,HO,Delivery,LUCKNOW,UTTAR PRADESH,26.8684790,80.9079410
Uttarakhand Circle,DivReportingCircle,Pauri Division,Lansdowne HO,246155,HO,Delivery,PAURI GARHWAL,UTTARAKHAND,29.8388333,78.6836111
West Bengal Circle,Kolkata Region,Kolkata East Division,Beleghata HO,700010,HO,Delivery,KOLKATA,WEST BENGAL,22.563216,88.394647
West Bengal Circle,South Bengal Region,Asansol Division,Durgapur HO,713201,HO,Delivery,PASCHIM BARDHAMAN,WEST BENGAL,23.5023310,87.3081392
West Bengal Circle,South Bengal Region,Asansol Division,Raniganj HO,713347,HO,Delivery,PASCHIM BARDHAMAN,WEST BENGAL,23.6072500,87.1153611
West Bengal Circle,South Bengal Region,Burdwan Division,Katwa HO,713130,HO,Delivery,PURBA BARDHAMAN,WEST BENGAL,23.6477778,88.1302778
West Bengal Circle,South Bengal Region,Hooghly North Division,Arambagh HO,712601,HO,Delivery,HOOGHLY,WEST BENGAL,22.8748611,87.7953333
West Bengal Circle,South Bengal Region,Midnapore Division,Midnapore HO,721101,HO,Delivery,MEDINIPUR WEST,WEST BENGAL,22.4238333,87.3266944
West Bengal Circle,South Bengal Region,Purulia Division,Purulia HO,723101,HO,Delivery,PURULIA,WEST BENGAL,23.3319167,86.3655000
Telangana Circle,Hyderabad Region,Adilabad Division,Mancherial H.O,504208,HO,Delivery,MANCHERIAL,TELANGANA,18.880305,79.442307
Telangana Circle,Hyderabad Region,Karimnagar Division,Karimnagar H.O,505001,HO,Delivery,KARIMNAGAR,TELANGANA,18.43392,79.13406499999999
Telangana Circle,Hyderabad City Region,Medak Division,Medak H.O,502110,HO,Delivery,MEDAK,TELANGANA,18.0490000,78.2673333
Telangana Circle,Hyderabad Region,Nalgonda Division,Bhongir H.O,508116,HO,Delivery,YADADRI BHUVANAGIRI,TELANGANA,17.5215278,78.8942500
Telangana Circle,Hyderabad City Region,Sangareddy Division,Zaheerabad H.O,502220,HO,Delivery,SANGAREDDY,TELANGANA,17.6800556,77.6105000
Telangana Circle,Hyderabad Region,Suryapet Division,Suryapet H.O,508213,HO,Delivery,SURYAPET,TELANGANA,17.138358,79.618493
Telangana Circle,Hyderabad City Region,Hyderabad City Division,Khairatabad H.O,500004,HO,Delivery,HYDERABAD,TELANGANA,17.407102420922904,78.46248075508107
Telangana Circle,Hyderabad City Region,Secunderabad Division,Vikarabad H.O,501101,HO,Delivery,VIKARABAD,TELANGANA,17.337750,77.908003
Andhra Pradesh Circle,Kurnool Region,Anantapur Division,Guntakal H.O,515801,HO,Delivery,ANANTAPUR,ANDHRA PRADESH,15.1714167,77.3721389
Andhra Pradesh Circle,Kurnool Region,Chittoor Division,Chittoor H.O,517001,HO,Delivery,CHITTOOR,ANDHRA PRADESH,13.21555556,79.10102778
