CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Maharashtra Circle,Navi Mumbai Region,Nasik Division,Nashik Road H.O,422101,HO,Delivery,NASHIK,MAHARASHTRA,19.9686640,73.8316080
Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ichalkaranji H.O,416115,HO,Delivery,KOLHAPUR,MAHARASHTRA,16.6841012,74.4688653
Maharashtra Circle,Mumbai Region,Mumbai City North East Division,Chembur HO,400071,HO,Delivery,MUMBAI SUBURBAN,MAHARASHTRA,19.0566895,72.898216
Maharashtra Circle,Mumbai Region,Mumbai GPO Division,Mumbai GPO,400001,HO,Delivery,MUMBAI,MAHARASHTRA,18.9391667,72.8375556
Maharashtra Circle,Nagpur Region,Buldana Division,Khamgaon H.O,444303,HO,Delivery,BULDHANA,MAHARASHTRA,20.7077778,76.5688889
Maharashtra Circle,Nagpur Region,Chandrapur Division,Chandrapur H.O,442401,HO,Delivery,CHANDRAPUR,MAHARASHTRA,19.962265,79.2963
Maharashtra Circle,Nagpur Region,Wardha Division,Wardha H.O,442001,HO,Delivery,WARDHA,MAHARASHTRA,21.1483333,79.0715556
Maharashtra Circle,Pune Region,Shrirampur Division,Shrirampur H.O,413709,HO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.618564497077056,74.66251531217345
Maharashtra Circle,Regional Office Aurangabad,Chhatrapati Sambhajinagar Division,Chhatrapati Sambhajinagar (MH) H.O,431001,HO,Delivery,AURANGABAD,MAHARASHTRA,19.888632,75.325199
Maharashtra Circle,Regional Office Aurangabad,Beed Division,Beed H.O,431122,HO,Delivery,BEED,MAHARASHTRA,18.989635,75.75621
Maharashtra Circle,Regional Office Aurangabad,Jalgaon Division,Chalisgaon H.O,424101,HO,Delivery,JALGAON,MAHARASHTRA,20.460336,75.011102
Maharashtra Circle,Regional Office Aurangabad,Pharbhani Division,Parbhani H.O,431401,HO,Delivery,PARBHANI,MAHARASHTRA,19.272097160000001,76.772164369999999
Maharashtra Circle,Mumbai Region,Mumbai City North West Division,Borivali HO,400091,HO,Delivery,MUMBAI SUBURBAN,MAHARASHTRA,19.232127,72.840368
Maharashtra Circle,Nagpur Region,Yeotmal Division,Yavatmal H.O,445001,HO,Delivery,YAVATMAL,MAHARASHTRA,20.38502778,78.119
Maharashtra Circle,Pune Region,Karad Division,Karad H.O,415110,HO,Delivery,SATARA,MAHARASHTRA,17.286501,74.181427
Maharashtra Circle,Pune Region,Solapur Division,Solapur H.O,413001,HO,Delivery,SOLAPUR,MAHARASHTRA,17.6659167,75.8943333
Maharashtra Circle,Regional Office Aurangabad,Chhatrapati Sambhajinagar Division,Jalna H.O,431203,HO,Delivery,JALNA,MAHARASHTRA,19.845908,75.906935
Maharashtra Circle,Regional Office Aurangabad,Osmanabad Division,Latur H.O,413512,HO,Delivery,LATUR,MAHARASHTRA,18.400494,76.578184
Maharashtra Circle,Regional Office Aurangabad,Osmanabad Division,Osmanabad HO,413501,HO,Delivery,OSMANABAD,MAHARASHTRA,18.183308,76.037974
